age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
34,4,2,3,1,925,0,1,2,13,7,709,1,-1,0,0,1
31,6,2,1,1,690,1,1,2,4,0,10,4,87,12,1,0
45,6,0,1,1,205,1,1,2,3,6,373,1,92,1,3,1
21,11,2,1,1,71,1,1,2,13,2,169,2,-1,0,0,1
37,7,0,3,1,1689,0,1,0,29,0,645,2,-1,0,0,0
47,1,0,0,1,209,1,1,2,27,5,77,6,-1,0,0,0
30,1,2,3,1,297,1,1,2,7,7,465,4,-1,0,0,1
39,1,2,1,1,0,1,1,2,22,1,864,4,-1,0,0,1
37,4,0,1,1,494,0,1,2,2,6,247,2,269,3,1,0
30,5,2,1,1,280,1,1,1,5,0,92,3,-1,0,0,0
28,1,0,1,1,1020,0,1,0,28,0,251,1,-1,0,0,0
32,7,2,3,1,2360,1,1,2,3,6,152,2,160,5,2,1
44,1,0,0,1,0,0,1,2,30,1,83,2,-1,0,0,0
36,4,2,1,0,12,1,1,2,12,5,587,2,-1,0,0,1
31,7,2,3,1,153,1,1,2,9,6,65,3,-1,0,0,0
38,7,2,1,1,399,0,1,2,11,5,367,4,-1,0,0,0
41,6,1,1,1,322,0,1,0,6,0,87,4,-1,0,0,0
48,6,0,1,1,-30,0,1,2,7,0,133,1,-1,0,0,0
35,4,1,1,1,2823,0,1,2,2,6,229,1,-1,0,0,0
25,4,0,3,1,839,0,1,2,18,0,700,3,-1,0,0,1
52,7,0,3,1,583,1,1,2,17,3,209,1,91,2,1,1
43,1,2,0,1,0,1,1,0,9,0,71,3,-1,0,0,0
35,4,0,1,1,2779,1,1,2,26,7,182,2,186,2,3,1
32,4,0,1,1,660,1,1,2,25,8,226,2,490,1,1,1
59,2,0,3,1,0,1,0,2,29,1,376,2,-1,0,0,0
29,4,2,1,1,590,1,1,2,27,5,81,1,94,1,3,1
30,4,1,1,1,3028,0,1,2,28,5,65,5,-1,0,0,0
37,1,0,1,1,-67,1,1,2,2,6,157,1,-1,0,0,0
36,6,0,3,1,211,0,1,0,5,0,146,2,-1,0,0,0
29,1,0,1,1,339,0,1,2,15,0,63,3,354,2,1,0
62,10,0,1,1,569,1,1,2,4,5,288,1,1,8,3,1
53,4,2,3,1,1,1,1,2,21,5,190,1,-1,0,0,0
25,1,2,1,1,192,1,1,1,4,1,112,2,-1,0,0,0
27,4,2,1,1,3933,1,1,2,28,1,837,3,-1,0,0,1
48,2,2,1,1,71,1,1,2,28,5,97,3,-1,0,0,0
29,7,2,3,1,0,0,1,2,13,0,155,1,351,1,1,0
37,7,0,3,1,238,1,1,2,3,6,185,1,92,1,3,1
35,7,2,3,1,837,1,1,2,4,5,329,1,-1,0,0,0
35,7,0,3,1,1471,0,0,2,13,5,236,3,-1,0,0,0
40,1,0,0,1,592,0,1,2,18,0,80,3,350,2,1,0
55,2,1,0,1,0,1,1,0,20,4,398,2,-1,0,0,0
46,1,0,1,1,-3,0,1,0,9,0,92,2,-1,0,0,0
36,1,0,0,1,1925,0,1,2,20,7,904,2,-1,0,0,1
41,6,0,1,1,338,0,1,0,16,0,121,1,-1,0,0,0
